Parça_Kodu,r_optimal,Q_optimal,SS_optimal,grid_r,grid_Q,ml_total_cost,ml_holding_cost,ml_ordering_cost,ml_stockout_cost,ml_service_level,ml_num_orders,ml_avg_inventory,r_eoq,Q_eoq,SS_eoq,eoq_total_cost,eoq_holding_cost,eoq_ordering_cost,eoq_stockout_cost,eoq_service_level,eoq_num_orders,eoq_avg_inventory,abs_saving,pct_saving,ABC,XYZ,Segment,Model_Grubu,champion,WAPE,sMAPE
Part-1845,52,40,3.5,53,46,8045.147591227658,5049.273280183548,2100.0,895.8743110441088,0.9885283006146459,24,26.71064389948766,131,30,83.5,21722.76307485179,18907.76307485179,2815.0,0.0,1.0,33,100.022022656276,13677.615483624133,62.96443705846316,C,Z,CZ,Düşük_Hacim_Basit,RandomForest,97.6002168390947,132.52705895415156
Part-1846,614,120,22.1,646,89,39323.30446569454,13220.46684996855,8255.0,17847.837615725995,0.964285204927152,97,139.93643648855095,1561,143,1019.0,108750.84113544058,101585.84113544058,7165.0,0.0,1.0,85,1075.2691843268317,69427.53666974604,63.84091924703325,C,Z,CZ,Aralıklı_Croston,RandomForest,92.20098442345383,120.99905081087941
Part-1847,1237,239,12.1,1336,184,16428.11354114613,3917.842179902421,4400.0,8110.271361243707,0.9561959171656387,102,221.94891116601065,1689,235,1138.5,15533.930630548706,10861.43063054871,4672.5,0.0,1.0,109,615.308782605297,-894.182910597423,-5.7563209973330345,C,Z,CZ,Aralıklı_Croston,HareketliOrtalama,28.1698099879918,40.52649190817179
Part-1848,127,35,12.2,125,49,38606.97933403423,22428.782786355172,4045.0,12133.196547679061,0.9886260182462537,191,42.20414060773341,457,22,358.7,200300.63294618606,193781.88294618606,6518.75,0.0,1.0,309,364.63850548624544,161693.65361215183,80.72548310698218,C,Z,CZ,Aralıklı_Croston,RandomForest,92.01783592333888,139.45545347997975
Part-1849,315,148,28.7,312,123,31593.58766084664,16415.458203290073,9250.0,5928.129457556568,0.9918738732672638,110,140.8462223831568,769,170,436.7,78536.66114899884,70396.66114899884,8140.0,0.0,1.0,97,604.0101755573531,46943.07348815221,59.772178752407555,C,Y,CY,Global_ML,LightGBM,42.329903326937355,52.39784005208546
Part-185,5141,1537,399.4,5173,2032,116373.69691860178,58910.71254970153,7440.0,50022.98436890023,0.9884313081884928,177,1764.3854391203495,8432,801,4206.7,169302.85355847207,154777.85355847207,14525.0,0.0,1.0,346,4635.621931859547,52929.156639870285,31.263003267449452,B,X,BX,Global_ML,CatBoost,4.100915195312184,4.273184683796053
Part-1850,12164,1275,838.4,12355,1699,2174834.133639868,1139245.7943738238,22290.0,1013298.3392660443,0.9797790172619465,176,2500.7612491841323,16296,365,4877.3,2786989.6159839053,2707677.1159839053,79312.5,0.0,1.0,635,5943.628706285423,612155.4823440374,21.964756482521913,B,X,BX,Global_ML,RandomForest,15.104673182156464,15.521094619250997
Part-1851,450,69,0.0,491,68,304143.00545585674,124409.01883138763,8313.75,171420.23662446917,0.9470262192865286,129,69.11612157299314,1967,32,1282.5,2800777.2099125586,2781805.9599125586,18971.25,0.0,1.0,295,1545.447755506977,2496634.204456702,89.14076405722567,C,Z,CZ,Aralıklı_Croston,HareketliOrtalama,216.69545192861256,184.94336118848656
Part-1852,380,203,14.6,399,157,5659.7934530295,1984.7437809845783,2198.75,1476.299672044921,0.9870117749957539,104,157.36947200956055,1707,292,1282.3,20801.61345987174,19247.86345987174,1553.75,0.0,1.0,73,1526.1547304053076,15141.820006842241,72.79156511610135,C,Z,CZ,Aralıklı_Croston,LightGBM,101.258925663491,124.29635371865841
Part-1853,14654,3511,0.0,16099,3162,292420.46018858935,75217.04918343795,10295.0,206908.41100515137,0.9559840032104086,120,2917.2891333673842,28725,1744,13258.6,419822.62250132614,398157.62250132614,21665.0,0.0,1.0,252,15442.521583873453,127402.1623127368,30.3466643968988,B,X,BX,Global_ML,Croston-SBA,18.895113500210485,18.24048116829379
Part-1854,465,70,44.8,458,63,23891.21609840265,10822.157843969067,2608.75,10460.308254433581,0.976251392971031,121,104.40333950723216,1081,54,743.8,76245.47411277205,72785.47411277205,3460.0,0.0,1.0,161,702.174804188923,52354.2580143694,68.6653976824041,C,Z,CZ,Düşük_Hacim_Basit,CatBoost,70.59862228765981,109.75334966341819
Part-1855,773,151,7.8,835,115,17599.663671160717,4462.510711226955,4350.0,8787.15295993376,0.9561419306589132,101,140.83540715858598,2793,230,1849.8,71577.25975557294,68587.25975557294,2990.0,0.0,1.0,69,2164.591925631918,53977.59608441223,75.41165485901348,C,Z,CZ,Aralıklı_Croston,Croston-SBA,153.61291506445497,153.46320306426827
Part-1856,540,163,1.3,588,231,283953.65903479996,90875.46154916627,12382.5,180695.6974856337,0.973181575884183,192,137.01523096416355,999,74,516.5,384394.6683851298,356382.1683851298,28012.5,0.0,1.0,435,537.3264056147838,100441.00935032981,26.129657253647633,C,Y,CY,Global_ML,HareketliOrtalama,30.093734583127773,42.68729447967428
Part-1857,759,569,0.0,851,745,4341.279693279696,2222.1009203041735,597.5,1521.678772975523,0.9667262348941759,27,314.7095117131449,1561,270,983.4,7901.305652571484,6606.305652571484,1295.0,0.0,1.0,60,935.6313240102372,3560.0259592917873,45.0561731925049,C,Z,CZ,Aralıklı_Croston,HareketliOrtalama,35.421526157947355,46.52984326144816
Part-1858,418,69,1.9,454,89,173153.79864707813,44818.22922339693,3702.5,124633.06942368121,0.9584052848465197,172,70.90195088271341,774,27,400.7,254838.5632809284,244967.3132809284,9871.25,0.0,1.0,460,387.53562367536637,81684.76463385028,32.05353364977294,C,Y,CY,Global_ML,UstelDuzeltme,15.582744911463076,16.055726197608355
Part-1859,727,107,0.0,800,110,435577.2583471158,161557.97960948668,11425.0,262594.2787376292,0.949147767907005,134,115.60562304989044,1816,38,1248.0,1618830.4934690772,1584785.4934690772,34045.0,0.0,1.0,402,1134.0208315043978,1183253.2351219612,73.09309034488876,C,Z,CZ,Aralıklı_Croston,XGBoost,71.80492465610777,101.95061467770712
Part-186,19937,3145,90.3,21651,2977,985368.018809391,321261.9110708592,21570.0,642536.1077385319,0.9512162266292771,126,3173.972817680514,25312,1053,9514.8,727928.6055751324,660178.6055751324,67750.0,0.0,1.0,395,6522.3696824972385,-257439.41323425854,-35.36602508303092,B,X,BX,Global_ML,HareketliOrtalama,16.63487876033107,16.761688980790126
Part-1860,1337,222,112.2,1336,184,68464.50242947214,39299.70016740653,6791.25,22373.552262065597,0.975391666164691,108,355.5697317138641,2842,169,1651.8,207811.7293057612,198665.4793057612,9146.25,0.0,1.0,147,1797.4547102560587,139347.22687628906,67.05455334104951,C,Y,CY,Global_ML,RandomForest,61.02909976319625,91.67310405297154
Part-1861,1463,155,5.8,1590,219,678158.2210858398,170657.95331619296,4031.25,503469.0177696467,0.9521289553579553,188,192.97540446188657,3412,36,2150.8,1793016.4954364994,1774752.7454364994,18263.75,0.0,1.0,850,2006.8424718296162,1114858.2743506595,62.17780356110186,C,Z,CZ,Düşük_Hacim_Basit,UstelDuzeltme,36.34765651617137,39.43610460641139
Part-1862,386,44,40.8,377,52,127125.2428733552,67179.57447163007,9495.0,50450.66840172508,0.9725250602123856,152,103.37927488109321,1076,37,739.2,519650.82487237186,508037.07487237186,11613.75,0.0,1.0,187,781.7927521288017,392525.5819990167,75.53641083807044,C,Z,CZ,Aralıklı_Croston,CatBoost,63.70176244734315,103.19963257392617
Part-1863,9695,1476,0.0,10586,2079,6154991.061378541,1706583.071034887,24172.5,4424235.4903436545,0.9537728526286939,188,1536.9471411697039,12266,226,4823.4,3526773.9287277358,3361443.9287277358,165330.0,0.0,1.0,1285,3027.313304665226,-2628217.1326508056,-74.52184874234115,B,X,BX,Global_ML,HareketliOrtalama,15.50792083862173,15.328973732725862
