Parça_Kodu,champion,votes,MAE,RMSE,WAPE,sMAPE
Part-1,RandomForest,4,37028.50859433639,48110.768663625946,31.455487455952802,48.97346836166822
Part-10,LightGBM,3,42863.59547751275,69417.15332227491,35.413191238748624,44.53553420614415
Part-100,RandomForest,4,32118.89727269667,37784.817953450154,21.026023066594515,22.803913912623038
Part-1000,Croston-SBA,3,2005.406361562449,2068.9285114900413,76.85021504358878,114.6391158788774
Part-1001,Croston-SBA,3,1899.5,2129.734207541556,100.0,117.36188773945182
Part-1002,Croston-SBA,2,1660.1666666666667,1765.2174784193483,100.0,122.79297805526173
Part-1003,LightGBM,2,496.3356719633577,546.4404762859483,63.974522702043956,91.25430171528744
Part-1004,HareketliOrtalama,4,404.72222222222223,482.2984898725408,23.936257598160015,24.730775461661082
Part-1005,UstelDuzeltme,3,491.7409387537643,571.0210286933603,21.965795358268206,23.544109181077914
Part-1006,HareketliOrtalama,4,507.88888888888897,662.0480009452152,19.951115184845712,20.246772964083423
Part-1007,UstelDuzeltme,4,632.3333333333334,878.8570115934968,34.692757863935626,48.11334832492463
Part-1008,XGBoost,2,866.3926595052084,986.1551897740497,69.5711450352148,92.53346511404425
Part-1009,HareketliOrtalama,4,508.38888888888897,623.3975457122044,20.96593122093157,22.488981871178527
Part-101,CatBoost,3,3459.2224576147437,5442.639553247768,10.030802231672979,9.046347063777741
Part-1010,RandomForest,3,305.90211927837464,368.1898461314854,67.03479604347143,91.17029745524084
Part-1011,HareketliOrtalama,3,951.5,1216.422098706786,62.034119308921,80.4355411141893
Part-1012,HareketliOrtalama,4,522.8333333333334,627.0770376206667,15.586028717642966,15.36650008633755
Part-1013,LightGBM,2,1452.1470636234924,1592.1040415601924,117.86907983956918,131.57195579808106
Part-1014,RandomForest,2,522.2641492550242,644.3019376204503,97.955138966244,109.11357061843792
Part-1015,Croston-SBA,3,812.0,1017.6335677261196,40.96182949386245,53.14234145968623
Part-1016,HareketliOrtalama,3,1039.0555555555554,1371.797219384524,58.06401539846635,77.85707492469743
Part-1017,HareketliOrtalama,4,1747.222222222222,1950.5500079037533,71.00605075408652,99.63143517471386
Part-1018,HareketliOrtalama,3,1204.5555555555554,1774.9239107322003,62.61768613180846,73.5753839974274
Part-1019,HareketliOrtalama,4,1077.5,1188.7165581229008,70.11170155080794,94.21740962526766
Part-102,XGBoost,3,60254.93359375,72571.2886591609,36.23623101512275,54.413596593739385
Part-1020,CatBoost,3,18366.672290611947,18707.183218903196,137.87067902373536,159.44280088534182
Part-1021,HareketliOrtalama,3,934.888888888889,1087.274012279231,62.576230849323224,85.47621967265356
Part-1022,LightGBM,2,1697.9083290093342,1756.147774021908,67.23058123180891,100.00804381080088
Part-1023,HareketliOrtalama,3,831.611111111111,1204.5893952343724,33.41816801732413,46.433096360341096
Part-1024,RandomForest,3,538.2958800905947,614.6752144938467,49.81914669973111,69.02595738587789
Part-1025,Croston-SBA,2,258.1666666666667,296.6682696316174,69.18267083519429,87.07884231735207
Part-1026,Croston-SBA,3,250.63049306952772,367.065249132666,37.8024876424627,47.80898494344405
Part-1027,Croston-SBA,4,511.4718037436817,624.0478800899881,66.15285239193986,85.31693922550964
Part-1028,XGBoost,4,444.4847666422526,494.41446979037335,51.18826487242833,65.49502311598451
Part-1029,HareketliOrtalama,3,237.5,239.51049617454717,100.0,136.79339236997825
Part-103,HareketliOrtalama,4,14273.166666666666,16154.636113030972,66.51521153233762,90.73951855636699
Part-1030,CatBoost,2,459.32906177003343,562.3781638408178,79.14917778920737,108.49531412506114
Part-1031,LightGBM,3,891.5200206871241,1010.1638948785253,66.16104049626152,93.57510997912505
Part-1032,Croston-SBA,4,579.9740504872726,648.5840468250797,53.40460870048551,70.84544744981577
Part-1033,CatBoost,3,113.24582284174357,118.9039412129484,69.4049986772688,116.60598862449203
Part-1034,HareketliOrtalama,4,356.8333333333333,427.1012760458578,15.350971535097155,15.618691525323383
Part-1035,HareketliOrtalama,4,518.6666666666666,570.3019667977073,25.791480192275817,25.6495922702129
Part-1036,RandomForest,4,1175.9122832809082,1195.0878856015606,97.57258608332802,136.08195356802145
Part-1037,LightGBM,4,89.92808741071526,107.36743857041216,15.991953896392758,15.747012665014157
Part-1038,LightGBM,3,1422.5662544031172,1434.476648453752,153.70786109163882,152.30509408633645
Part-1039,XGBoost,4,139.5613047281901,187.26337265225482,35.5268488913509,49.7100338379116
Part-104,XGBoost,3,5216.572591145833,6959.204331714241,16.269589118866307,16.75927004282352
Part-1040,RandomForest,2,698.9602990976518,815.1421666943096,95.57342284835714,109.2204722528353
Part-1041,UstelDuzeltme,2,183.0,225.47893686246417,62.88659793814433,82.55738796772908
Part-1042,XGBoost,4,1602.079325358073,1723.8044655931667,57.3810646618221,69.73197042152489
Part-1043,HareketliOrtalama,3,832.0,1168.3535423834687,57.64434180138568,74.94735779246695
Part-1044,LightGBM,4,740.4285341004619,910.279621031049,24.019091720386953,24.361645900772864
Part-1045,Croston-SBA,4,56.333333333333336,64.17608802450663,25.920245398773005,25.81186386631751
Part-1046,HareketliOrtalama,3,776.6666666666666,983.935973526733,119.4259354177345,177.71281439350346
Part-1047,HareketliOrtalama,4,371.6666666666667,500.9364563827765,30.102591792656586,31.910006394883368
Part-1048,HareketliOrtalama,4,558.3333333333334,610.8652333643922,65.76364350215941,91.19261326546423
Part-1049,Croston-SBA,4,171.33333333333334,188.4391498623417,30.5952380952381,32.259264703889485
Part-105,XGBoost,3,16219.841145833334,17901.013235653936,12.25197710159597,12.708871108882583
Part-1050,Croston-SBA,2,1313.8333333333333,1533.4697141568724,100.0,149.20489561816973
Part-1051,XGBoost,3,590.0010172526041,649.8087039868191,52.92280017215765,74.97382526012223
Part-1052,CatBoost,3,477.02304680664867,485.02314071248657,319.79198668602146,173.98382672672818
